Production Line,Production Order Code,Production Order Opening,Length,Width,Thickness,Lot Size,Cycle Time,Mechanical Cycle Time,Thermal Cycle Time,Control Panel with Micro Stop,Control Panel Delay Time,Sandwich Preparation Time,Carriage Time,Lower Plate Temperature,Upper Plate Temperature,Pressure,Roller Start Time,Liston 1 Speed,Liston 2 Speed,Floor 1,Floor 2,Bridge Platform,Floor 1 Blow Time,Floor 2 Blow Time,Centering Table,Conveyor Belt Speed Station 1,Quality Inspection Cycle,Conveyor Belt Speed Station 2,Transverse Saw Cycle,Right Jaw Discharge,Left Jaw Discharge,Simultaneous Jaw Discharge,Carriage Speed,Take-off Path,Stacking Cycle,Lowering Time,Take-off Time,High Pressure Input Time,Press Input Table Speed,Scraping Cycle,Paper RC,Paper VC,Paper Shelf Life,GFFTT_cat,Finishing Top_cat,Reference Top_cat,Defect Prediction,Recording Date
410,79430154539,2,2850,2070,19,260,48.00,16.00,32.00,0,0.00,40.10,1.00,178,181,280,0,1300,1200,1,0,0,2000,4000,0,0,0,0,0,0,0,1,1800,100,0,10,45,14,1000,65521,0,0,0,1,5,3,11.5,2022-09-05 15:05:12
410,79430154479,2,5705,2465,15,66,0.00,357.80,90.00,0,0.00,3138.90,1.00,176,183,280,0,1300,1200,1,0,0,2000,4000,0,0,0,0,0,1,0,0,2000,100,0,10,45,20,1000,0,0,0,0,1,4,9,1,2022-09-05 13:56:35
410,79430154776,1,3660,2070,19,44,55.00,13.90,42.00,0,0.00,42.00,1.00,178,181,280,0,1300,1200,1,0,1,2000,4000,77,0,0,0,0,0,0,1,1700,100,0,10,40,13,900,65521,0,0,0,1,4,118,14.5,2022-09-11 15:07:03
410,79430154778,1,3660,2100,19,110,55.00,13.30,42.00,0,0.00,44.30,1.00,170,172,280,0,1300,1200,1,0,1,2000,4000,77,0,0,0,0,0,0,1,1700,100,0,10,40,11,900,0,0,0,0,1,4,9,1,2022-09-11 15:32:53
410,79430154784,1,2800,2070,25,44,68.00,32.20,36.00,0,0.00,57.20,1.00,180,183,300,0,1300,1200,1,0,1,2000,4000,77,0,0,0,0,0,0,1,1700,150,0,10,20,12,950,65521,0,0,0,1,14,64,16.7,2022-09-11 21:54:28
410,79430155182,1,2440,1220,19,160,39.00,15.60,24.00,0,0.00,31.10,1.00,188,189,280,0,1200,1300,1,0,1,2000,4000,62,0,0,0,0,0,0,1,1800,100,0,20,40,15,900,65521,53,7,26,1,5,2,24.6,2022-09-22 18:19:23
410,79430155424,1,3660,2070,30,28,41.00,15.90,26.00,0,0.00,35.00,1.00,186,189,280,0,1200,1300,0,0,1,2000,4000,46,0,0,0,0,1,0,0,1600,160,0,20,40,13,900,65521,59,7,1,1,7,228,0,2022-10-01 11:01:54
410,79430155449,2,3660,2100,22,594,28.00,12.90,16.00,0,0.00,18.60,1.00,186,190,280,0,1200,1300,0,0,1,2000,4000,46,0,0,0,0,0,0,1,1900,160,0,20,40,13,1000,65521,0,0,0,1,12,1,1,2022-10-03 20:13:25
410,79430155543,2,2800,2070,19,420,39.00,13.50,26.00,0,0.00,30.40,1.00,182,186,350,0,1200,1300,0,0,1,2000,4000,46,0,0,0,0,0,0,1,1800,100,0,20,40,13,950,65521,63,7,5,1,2,158,4.0,2022-10-07 14:18:46
410,79430156049,1,2800,2070,30,195,39.00,14.10,25.00,0,0.00,29.80,1.00,186,188,280,0,1200,1300,1,0,1,2000,4000,46,0,0,0,0,0,1,0,1800,200,0,20,40,14,900,65521,0,0,0,1,14,234,5.0,2022-10-23 10:20:58
410,79430156268,1,2800,2070,30,405,38.00,14.40,24.00,1,0.10,29.20,1.00,183,189,280,0,1200,1300,1,0,1,2000,4000,46,0,0,0,0,0,0,1,1500,200,0,20,40,14,900,65521,0,0,0,1,14,234,0,2022-10-27 12:58:54
410,79430156669,2,2800,2070,19,390,50.00,14.40,36.00,0,0.00,27.90,1.00,176,174,350,0,1200,1300,0,0,1,2000,4000,46,0,0,0,0,0,0,1,1800,200,0,20,30,17,900,65521,57,7,13,1,12,58,9.0,2022-11-11 14:12:19
410,79430156998,1,3660,2070,25,112,43.00,13.10,30.00,0,0.00,37.10,1.00,179,178,280,0,1200,1300,0,0,1,2000,4000,46,0,0,0,0,0,1,0,1500,200,0,20,30,13,950,65521,0,0,0,1,4,9,9.667,2022-11-21 19:24:35
410,79430157041,1,2800,2100,16,128,65.00,38.40,27.00,0,0.00,56.00,1.00,184,185,350,0,1200,1300,1,0,1,2000,4000,46,0,0,0,0,0,0,1,1700,200,0,20,30,13,900,65521,0,0,0,1,1,201,91.0,2022-11-26 14:53:01
410,79430157493,1,2800,2070,18,336,58.00,32.40,26.00,1,1.60,47.60,1.00,184,186,350,0,1200,1300,0,1,1,2000,4000,0,0,0,0,0,0,0,1,1800,100,0,20,40,13,900,65521,0,0,0,1,2,169,0,2022-12-07 13:42:50
410,79430157562,1,2800,2100,19,120,41.00,14.70,27.00,0,0.00,32.50,1.00,185,186,350,0,1200,1300,0,1,1,2000,4000,0,0,0,0,0,0,0,1,1800,200,0,20,40,15,900,65521,0,0,0,1,11,36,88.0,2022-12-09 00:11:05
