Production Line,Production Order Code,Production Order Opening,Length,Width,Thickness,Lot Size,Cycle Time,Mechanical Cycle Time,Thermal Cycle Time,Control Panel with Micro Stop,Control Panel Delay Time,Sandwich Preparation Time,Carriage Time,Lower Plate Temperature,Upper Plate Temperature,Pressure,Roller Start Time,Liston 1 Speed,Liston 2 Speed,Floor 1,Floor 2,Bridge Platform,Floor 1 Blow Time,Floor 2 Blow Time,Centering Table,Conveyor Belt Speed Station 1,Quality Inspection Cycle,Conveyor Belt Speed Station 2,Transverse Saw Cycle,Right Jaw Discharge,Left Jaw Discharge,Simultaneous Jaw Discharge,Carriage Speed,Take-off Path,Stacking Cycle,Lowering Time,Take-off Time,High Pressure Input Time,Press Input Table Speed,Scraping Cycle,Paper RC,Paper VC,Paper Shelf Life,GFFTT_cat,Finishing Top_cat,Reference Top_cat,Defect Prediction,Recording Date
410,79430147663,1,2800,2070,19,300,39.00,12.90,27.00,0,0.00,32.30,1.00,175,186,350,0,1000,2000,0,0,1,5000,1000,0,0,0,0,0,0,0,1,1600,100,0,10,35,13,1200,65521,0,0,0,1,10,240,0,2022-02-02 09:18:04
410,79430147689,1,2800,2070,10,456,38.00,14.80,24.00,0,0.00,31.90,1.00,175,187,350,0,1000,2000,0,0,1,5000,1000,0,0,0,0,0,0,0,1,1600,100,0,10,35,14,1500,0,0,0,0,1,2,158,5.0,2022-02-02 18:57:43
410,79430148003,1,2800,2070,28,270,40.00,16.80,24.00,1,1.00,31.40,1.00,179,191,280,0,1000,2000,1,0,1,5000,1000,0,0,0,0,0,0,0,1,1400,200,0,10,20,15,900,65521,0,0,0,1,7,230,0,2022-02-10 19:33:38
410,79430147702,1,3660,2100,10,120,38.00,14.90,24.00,0,0.00,33.40,1.00,168,181,280,0,1000,2000,1,0,1,5000,1000,0,0,0,0,0,0,0,1,1600,100,0,10,20,14,1300,65521,55,7,0,7,8,6,79.0,2022-02-12 04:10:44
410,79430148094,1,5100,2100,25,186,50.00,25.40,25.00,0,0.00,49.90,1.00,175,187,280,0,1000,2000,1,0,1,5000,1000,0,0,0,0,0,0,0,1,2000,100,0,10,20,15,1000,65521,0,0,0,1,4,109,74.7,2022-02-12 15:46:12
410,79430148066,1,2800,2070,16,192,38.00,14.20,24.00,0,0.00,41.60,1.00,178,191,280,0,1000,2000,1,0,1,5000,1000,0,0,0,0,0,0,0,1,2200,100,0,10,20,17,1300,65521,59,7,1,1,13,46,8.0,2022-02-12 08:47:56
410,79430148148,1,2440,1220,16,144,34.00,14.80,20.00,0,0.00,27.70,1.00,176,189,280,0,1000,2000,1,0,1,5000,1000,0,0,0,0,0,0,0,1,1600,100,0,10,30,16,1100,65524,58,7,2,4,12,1,0,2022-02-14 03:20:36
410,79430148140,2,3660,1220,30,128,62.00,38.40,24.00,0,0.00,57.00,1.00,176,187,280,0,1000,2000,1,0,1,5000,1000,0,0,0,0,0,0,1,0,1400,100,0,10,30,17,1100,65524,58,7,5,1,12,1,22.0,2022-02-14 06:53:32
410,79430148331,1,2800,2100,19,60,43.00,16.20,27.00,1,0.90,44.00,1.00,165,186,350,0,1000,2000,0,0,1,5000,1000,0,0,0,0,0,0,0,1,1900,180,0,10,20,13,1300,65521,63,7,8,1,2,163,83.0,2022-02-18 11:49:23
410,79430148337,1,2800,2070,30,48,42.00,12.70,30.00,0,0.00,30.90,1.00,166,186,350,0,1000,2000,0,0,1,5000,1000,0,0,0,0,0,0,0,1,2200,150,0,10,30,12,1000,65521,0,0,0,1,10,197,0,2022-02-19 05:03:58
410,79430148443,1,2800,2070,18,196,41.00,15.20,26.00,0,0.00,33.70,1.00,172,190,280,0,1000,2000,0,0,1,5000,1000,0,0,0,0,0,0,0,1,1500,100,0,10,30,15,1200,65521,0,0,0,1,7,141,6.0,2022-02-21 18:49:26
410,79430148519,1,2440,2070,16,108,33.00,13.50,20.00,1,1.20,222.80,1.00,165,186,280,0,1000,2000,0,0,1,5000,1000,0,0,0,0,0,0,0,1,2000,100,0,10,30,18,1200,0,59,7,3,1,5,1,22.0,2022-02-23 19:47:25
410,79430148050,2,2800,2070,16,32,39.00,12.80,27.00,1,6.50,31.30,1.00,168,187,350,0,1000,2000,0,0,1,5000,1000,0,0,0,0,0,0,0,1,1800,100,0,10,30,12,1100,65521,0,0,0,1,1,185,14.3,2022-02-26 00:38:00
410,79430148689,1,5100,2100,25,126,30.00,12.60,18.00,0,0.00,24.10,1.00,170,191,280,0,1000,2000,0,0,1,5000,1000,0,0,0,0,0,0,1,0,2000,100,0,10,30,13,1200,65521,58,7,3,1,4,225,70.0,2022-02-26 19:34:15
410,79430148679,1,3200,2070,16,155,41.00,15.00,27.00,1,0.50,34.30,1.00,166,187,350,0,1000,2000,0,0,1,5000,1000,0,0,0,0,0,0,1,0,1800,100,0,10,35,12,1100,65521,0,0,0,1,2,163,0,2022-03-01 07:43:53
