iter	MultiClass
0	2.227510949
1	2.115440044
2	2.032907591
3	1.96920198
4	1.915950963
5	1.863942742
6	1.820867913
7	1.784574445
8	1.74512156
9	1.711881669
10	1.673709317
11	1.645289818
12	1.618559596
13	1.589793204
14	1.567843029
15	1.547628256
16	1.517610105
17	1.495033252
18	1.465422952
19	1.446063626
20	1.421856017
21	1.398414011
22	1.369038053
23	1.345478625
24	1.329672674
25	1.307448855
26	1.288469768
27	1.268533958
28	1.25792135
29	1.244104786
30	1.235588282
31	1.215514337
32	1.195194831
33	1.181142195
34	1.167275653
35	1.154896354
36	1.143754341
37	1.135147971
38	1.123881468
39	1.115201226
40	1.104773456
41	1.096396202
42	1.081465277
43	1.072160679
44	1.058541584
45	1.044232274
46	1.032024554
47	1.018256136
48	1.004397122
49	0.9955004492
50	0.9896562418
51	0.97977984
52	0.9712625812
53	0.9607010094
54	0.9529396014
55	0.9464467286
56	0.9365668782
57	0.927426653
58	0.9221327488
59	0.9176721856
60	0.9089459622
61	0.9010636376
62	0.8899631551
63	0.8843165696
64	0.8782537648
65	0.8666044637
66	0.8559053976
67	0.8507349748
68	0.8453481885
69	0.840199428
70	0.8362573391
71	0.8308597289
72	0.8217937789
73	0.8168533643
74	0.8136944313
75	0.8078582881
76	0.8006574902
77	0.7946373927
78	0.7864006157
79	0.7810885257
80	0.7781870935
81	0.7739850738
82	0.7663802617
83	0.7632440933
84	0.7572327752
85	0.7492175311
86	0.741931913
87	0.7371275983
88	0.7314794642
89	0.7272822045
90	0.7224730655
91	0.7133531984
92	0.7097969467
93	0.7060314667
94	0.6992105406
95	0.6971198
96	0.6922184805
97	0.6867607914
98	0.6823609247
99	0.6806821138
100	0.6772650325
101	0.6701768381
102	0.6656791321
103	0.6614502852
104	0.6565270841
105	0.6521129714
106	0.6485430057
107	0.6451555654
108	0.643094376
109	0.6409546517
110	0.6381020647
111	0.6342348618
112	0.6294392087
113	0.6229253451
114	0.6185661798
115	0.6160524364
116	0.6131678956
117	0.6096289416
118	0.608520866
119	0.6054248994
120	0.6028174654
121	0.5995508123
122	0.5964365523
123	0.5929614131
124	0.5904320459
125	0.5856220587
126	0.5829227132
127	0.5815517743
128	0.5794127362
129	0.5757241409
130	0.5720911598
131	0.5689627934
132	0.5655445433
133	0.5635813606
134	0.55989392
135	0.557442147
136	0.5558763913
137	0.5532426911
138	0.5500324279
139	0.5466706146
140	0.5439142911
141	0.5406460191
142	0.5382644582
143	0.5359004238
144	0.5328098718
145	0.5298122796
146	0.527646102
147	0.524960058
148	0.5234110685
149	0.5210356721
150	0.518764751
151	0.5158191942
152	0.5133187863
153	0.5106497277
154	0.5090488963
155	0.5066960625
156	0.5044504008
157	0.5036083252
158	0.5003661247
159	0.4974508732
160	0.4963342173
161	0.4930842905
162	0.4909959675
163	0.4887328548
164	0.4867293067
165	0.4838978331
166	0.4817156664
167	0.4801971488
168	0.4771770482
169	0.47508892
170	0.4726721064
171	0.4704268603
172	0.4694659757
173	0.4668863883
174	0.465397979
175	0.4622042737
176	0.4614027809
177	0.4583621278
178	0.4563778941
179	0.4546569454
180	0.4532921624
181	0.451880287
182	0.4490253596
183	0.4478235963
184	0.4453694101
185	0.4426461275
186	0.4407788757
187	0.4380568479
188	0.4362765222
189	0.434137005
190	0.4329814877
191	0.4298108865
192	0.4278884711
193	0.4262845876
194	0.4243036187
195	0.4231487508
196	0.4220392813
197	0.4203969299
198	0.4185955101
199	0.4176782745
200	0.4161178107
201	0.4145014471
202	0.412964954
203	0.4111862477
204	0.4105414777
205	0.4082733011
206	0.4070271748
207	0.4055142031
208	0.403644763
209	0.4008027317
210	0.3992785312
211	0.3978712096
212	0.3964558404
213	0.3952289111
214	0.393467491
215	0.3924991434
216	0.390905353
217	0.3901051322
218	0.3882403178
219	0.3867858143
220	0.3852737751
221	0.3839619438
222	0.3819180517
223	0.3808524408
224	0.3792730594
225	0.3777063475
226	0.3768046086
227	0.3758640826
228	0.3749204056
229	0.373793496
230	0.3726991378
231	0.3712200771
232	0.3695230029
233	0.368570152
234	0.3669435902
235	0.3659843702
236	0.365057911
237	0.363819876
238	0.3626803301
239	0.3615160088
240	0.3598330172
241	0.3586613026
242	0.357966503
243	0.357045124
244	0.3560534648
245	0.3548155992
246	0.3538184642
247	0.3529807623
248	0.3519563858
249	0.3506875493
250	0.3503267751
251	0.3485761283
252	0.3470984431
253	0.3464671297
254	0.3458696479
255	0.344391362
256	0.3434800502
257	0.3426587276
258	0.3418581855
259	0.3406964944
260	0.3398314202
261	0.33906229
262	0.3377172676
263	0.3367869016
264	0.335306725
265	0.333935241
266	0.3330014422
267	0.3322255699
268	0.331402196
269	0.3302322194
270	0.3283104424
271	0.3273363148
272	0.3264357486
273	0.3252193544
274	0.3244754162
275	0.3229622518
276	0.3217583748
277	0.3205578178
278	0.3194236125
279	0.3184863873
280	0.3175122092
281	0.3163980251
282	0.3156900676
283	0.3151521343
284	0.3136824498
285	0.3122396362
286	0.3112530664
287	0.3104271866
288	0.3094472714
289	0.3085267133
290	0.3077925769
291	0.3072282427
292	0.305853688
293	0.3056370098
294	0.3039897122
295	0.3031278944
296	0.3014506851
297	0.3006039931
298	0.2997131038
299	0.2987725148
300	0.297879249
301	0.2972134498
302	0.2962165835
303	0.2951195552
304	0.2939189918
305	0.2928093498
306	0.2916671614
307	0.2905352112
308	0.2895260561
309	0.2887156283
310	0.2881189689
311	0.2874318878
312	0.286453577
313	0.2859811086
314	0.285477942
315	0.2849383997
316	0.2841390321
317	0.2828976347
318	0.2820377029
319	0.2810385364
320	0.2802225402
321	0.2791261
322	0.2786430985
323	0.2779948502
324	0.2773523015
325	0.2763087542
326	0.275422567
327	0.273911795
328	0.2730635612
329	0.2719955451
330	0.2713546477
331	0.2705546121
332	0.2703071799
333	0.2693867762
334	0.2687546156
335	0.2682337973
336	0.2675332427
337	0.2669496439
338	0.2665358137
339	0.2656682711
340	0.2641247631
341	0.2634356485
342	0.2623573688
343	0.2616314015
344	0.2610439219
345	0.2604069411
346	0.2597276237
347	0.2587945284
348	0.2576921224
349	0.2572388795
350	0.2567803186
351	0.256271026
352	0.2559313856
353	0.2552107854
354	0.2548878324
355	0.2541123602
356	0.2534801938
357	0.2525607838
358	0.2522826235
359	0.2517423046
360	0.2509125185
361	0.2504015134
362	0.2496129899
363	0.2487059835
364	0.2478235779
365	0.2468372089
366	0.2463836996
367	0.2453569603
368	0.2447643624
369	0.2443540953
370	0.2434553592
371	0.2429336797
372	0.2425292952
373	0.2417932706
374	0.2414950434
375	0.2411786889
376	0.2409356905
377	0.2402990383
378	0.2395896755
379	0.2389868575
380	0.2386326285
381	0.2375350897
382	0.237086588
383	0.2362688141
384	0.2354238849
385	0.23453716
386	0.234242261
387	0.2335728479
388	0.2331213107
389	0.2324699878
390	0.2316311961
391	0.2307942567
392	0.2301581951
393	0.2296672743
394	0.2293414443
395	0.2286745753
396	0.2280645806
397	0.2276789502
398	0.2270382897
399	0.2262283112
400	0.2257548245
401	0.2253962558
402	0.2247074108
403	0.2241060868
404	0.2235609834
405	0.2231573808
406	0.2224023143
407	0.2215918513
408	0.221074845
409	0.2205241951
410	0.2202407133
411	0.2193413521
412	0.218679665
413	0.2182921608
414	0.2175309682
415	0.2170225158
416	0.2162218233
417	0.215604652
418	0.2147847203
419	0.2143062824
420	0.2133390357
421	0.2127866156
422	0.2124238587
423	0.2117853597
424	0.2114103254
425	0.2108802122
426	0.2103185858
427	0.2099111053
428	0.2093863119
429	0.2090448222
430	0.2087358796
431	0.2085287476
432	0.2079233624
433	0.2076029012
434	0.2072154047
435	0.2064820884
436	0.2057908021
437	0.2053589682
438	0.2050534901
439	0.2044037762
440	0.2037111409
441	0.20347624
442	0.2029377893
443	0.202740433
444	0.2021021295
445	0.2014298648
446	0.2010925664
447	0.200464148
448	0.1999998247
449	0.1999073451
450	0.1996567399
451	0.1993547659
452	0.1991060162
453	0.1983913708
454	0.1979911483
455	0.1978260953
456	0.1971299005
457	0.1966374587
458	0.1963194001
459	0.1951973259
460	0.1947207591
461	0.1939256118
462	0.1933257249
463	0.1928220512
464	0.1920860232
465	0.1914501536
466	0.191329947
467	0.1908131441
468	0.1902278023
469	0.1899553439
470	0.1894676024
471	0.1888897217
472	0.1886847403
473	0.1882311711
474	0.1876439881
475	0.1873544267
476	0.1867089758
477	0.1864463855
478	0.185758297
479	0.1854027905
480	0.1848301999
481	0.1846069108
482	0.1842959316
483	0.184106403
484	0.1836189439
485	0.1833576557
486	0.1827879681
487	0.1821481605
488	0.1816905637
489	0.1808952483
490	0.180416984
491	0.1801267357
492	0.1796323043
493	0.1790648126
494	0.1788045794
495	0.1784337382
496	0.1781390596
497	0.1776224585
498	0.1772755053
499	0.1768936217
500	0.176574729
501	0.1763567382
502	0.1761587981
503	0.1757612293
504	0.1754753153
505	0.1750409812
506	0.1748007461
507	0.1740986344
508	0.1737865649
509	0.1736080862
510	0.1731473285
511	0.1726045215
512	0.1719519745
513	0.1714229441
514	0.1708117388
515	0.1703904175
516	0.1702400849
517	0.1699322389
518	0.1698253193
519	0.1695227746
520	0.1691362433
521	0.168873337
522	0.1683879111
523	0.1680319787
524	0.1676763339
525	0.1674202413
526	0.1668317143
527	0.166623984
528	0.1663679559
529	0.1660771467
530	0.1655907373
531	0.1654366114
532	0.1649969329
533	0.1647923101
534	0.1644580252
535	0.1643356134
536	0.1638817255
537	0.1636032045
538	0.1630755317
539	0.1628913267
540	0.1624892157
541	0.1619205275
542	0.1616158313
