iter	Passed	Remaining
0	827	826184
1	1500	748982
2	2200	731425
3	2921	727441
4	3624	721224
5	4323	716244
6	5085	721346
7	6090	755234
8	7003	771164
9	7926	784712
10	8725	784542
11	9544	785846
12	10368	787180
13	11191	788229
14	12234	803367
15	13311	818658
16	14425	834141
17	15494	845287
18	16561	855073
19	17443	854729
20	18286	852506
21	19132	850506
22	19950	847464
23	20782	845164
24	21631	843628
25	22659	848873
26	23688	853663
27	24752	859278
28	25873	866313
29	26878	869073
30	27695	865710
31	28518	862685
32	29350	860051
33	30164	857038
34	30999	854711
35	31843	852685
36	32886	855926
37	34080	862762
38	35118	865363
39	36167	868023
40	37156	869107
41	37986	866460
42	38813	863827
43	39656	861634
44	40488	859251
45	41326	857067
46	42188	855436
47	43738	867470
48	44895	871331
49	46054	875031
50	46925	873187
51	47773	870955
52	48600	868388
53	50000	875931
54	51339	882102
55	52672	887912
56	53630	887248
57	54533	885701
58	55512	885378
59	56401	883623
60	57363	883015
61	58778	889258
62	60091	893738
63	61457	898815
64	62682	901659
65	63751	902181
66	64611	899734
67	65430	896781
68	66305	894643
69	67332	894556
70	68242	892916
71	69080	890375
72	69927	887985
73	70751	885354
74	71563	882614
75	72386	880070
76	73220	877699
77	74025	875015
78	74832	872413
79	75650	869986
80	76468	867585
81	77291	865284
82	78110	862974
83	78941	860843
84	79824	859291
85	80671	857372
86	81480	855077
87	82308	853015
88	83118	850801
89	83938	848712
90	84739	846467
91	85546	844309
92	86351	842161
93	87177	840246
94	88002	838336
95	88825	836439
96	89640	834488
97	90453	832545
98	91279	830735
99	92187	829691
100	93004	827832
101	93836	826132
102	94649	824281
103	95471	822519
104	96283	820700
105	97097	818917
106	97961	817566
107	98785	815898
108	99590	814080
109	100408	812397
110	101218	810657
111	102040	809031
112	102853	807355
113	103672	805732
114	104486	804094
115	105375	803036
116	106202	801511
117	107053	800182
118	107873	798624
119	108703	797158
120	109507	795509
121	110320	793949
122	111130	792369
123	111959	790942
124	112779	789455
125	113590	787922
126	114400	786387
127	115214	784897
128	116020	783365
129	116838	781919
130	117711	780848
131	118572	779705
132	119381	778225
133	120181	776694
134	121027	775469
135	121835	774011
136	122656	772648
137	123486	771342
138	124304	769972
139	125175	768936
140	125995	767588
141	126808	766211
142	127623	764846
143	128439	763498
144	129256	762165
145	130079	760877
146	130901	759587
147	131721	758288
148	132540	756992
149	133347	755633
150	134167	754361
151	134987	753086
152	135793	751746
153	136609	750467
154	137421	749167
155	138294	748208
156	139122	747010
157	139927	745689
158	140743	744437
159	141575	743272
160	142391	742025
161	143209	740798
162	144021	739547
163	144848	738371
164	145673	737195
165	146540	736234
166	147359	735033
167	148200	733946
168	149002	732668
169	149817	731461
170	150630	730250
171	151447	729061
172	152269	727900
173	153105	726811
174	153938	725708
175	154745	724488
176	155552	723273
177	156378	722154
178	157303	721487
179	158184	720616
180	159012	719509
181	159825	718336
182	160658	717255
183	161472	716095
184	162294	714971
185	163128	713908
186	163944	712765
187	164768	711659
188	165589	710546
189	166405	709412
190	167360	708870
191	168207	707874
192	169016	706717
193	169822	705549
194	170637	704426
195	171462	703346
196	172288	702272
197	173098	701137
198	173918	700045
199	174719	698878
200	175528	697745
201	176343	696644
202	177258	695936
203	178101	694946
204	178930	693899
205	179750	692823
206	180567	691739
207	181382	690647
208	182208	689601
209	183016	688491
210	183837	687431
211	184673	686426
212	185490	685356
213	186288	684219
214	187154	683331
215	187978	682290
216	188802	681253
217	189612	680171
218	190429	679110
219	191243	678046
220	192065	677008
221	192880	675950
222	193730	675016
223	194535	673924
224	195342	672844
225	196146	671757
226	196955	670690
227	197810	669780
228	198683	668931
229	199501	667897
230	200316	666852
231	201124	665791
232	201942	664762
233	202755	663720
234	203578	662711
235	204390	661671
236	205207	660648
237	206020	659610
238	206826	658555
239	207631	657499
240	208445	656473
241	209256	655440
